PropName,Borough,System,Type of Water Feature
Forest Park,Q,Q015-DF0028,Drinking Fountain
Rochdale Park,Q,Q413-DF0959,Drinking Fountain
St. Mark's Playground,B,BT16-DF0467,Drinking Fountain
Clove Lakes Park,R,R005-DF0168,Drinking Fountain
Jacob Joffe Fields,B,B324-DF0552,Drinking Fountain
McGuire Fields,B,B166D-DF0822,Drinking Fountain
Pelham Bay Park,X,X039-DF0081,Drinking Fountain
Willowbrook Park,R,R030-DF0174,Drinking Fountain
Martin Luther King Jr. Playground,B,B056-DF0180,Drinking Fountain
St. James Park,X,X044-DF0053,Drinking Fountain
Crotona Park,X,X010-DF0550,Drinking Fountain
Barretto Point Park,X,X307-DF0315,Drinking Fountain
Bayswater Park,Q,Q007-DF0250,Drinking Fountain
Central Park,M,M010-DF0655,Drinking Fountain
Bellevue South Park,M,M263-DF0033,Drinking Fountain
Quarry Ballfields,X,X263-DF0276,Drinking Fountain
Detective Keith L Williams Park,Q,Q121-DF0952,Drinking Fountain
Cunningham Park,Q,Q021-DF0754,Drinking Fountain
Montbellier Park,Q,Q396-DF0874,Drinking Fountain
"Martin Luther King, Jr. Playground",M,M198-DF0511,Drinking Fountain
Sakura Park,M,M087-DF0073,Drinking Fountain
Samuel N. Bennerson 2nd Playground,M,M184-DF0326,Drinking Fountain
Highbridge Park,M,M037-DF0920,Drinking Fountain
Mount Hope Playground,X,X257-DF0384,Drinking Fountain
Bronx Park,X,X002-DF0073,Drinking Fountain
Hoyt Playground,Q,Q066F-DF0069,Drinking Fountain
Agnes Haywood Playground,X,X169-DF0491,Drinking Fountain
Bensonhurst Park,B,B007-DF0765,Drinking Fountain
J. Hood Wright Park,M,M099-DF0984,Drinking Fountain
Central Park,M,M010-DF0274,Drinking Fountain
Columbus Park,M,M015-DF0440,Drinking Fountain
William Sheridan Playground,B,B124-DF0411,Drinking Fountain
Williamsbridge Oval,X,X104-DF0138,Drinking Fountain
Lincoln Terrace / Arthur S. Somers Park,B,B054-DF0495,Drinking Fountain
Murray Playground,Q,Q141-DF0094,Drinking Fountain
Central Park,M,M010-DF0634,Drinking Fountain
Walton Park,X,X291-DF0595,Drinking Fountain
Crotona Park,X,X010-DF0323,Drinking Fountain
Hunter's Point South Park,Q,Q471-DF0099,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0567,Drinking Fountain
Sara D. Roosevelt Park,M,M105-DF0006,Drinking Fountain
Spuyten Duyvil Playground,X,X171-DF0590,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0934,Drinking Fountain
Kissena Corridor Park,Q,Q300A-DF0721,Drinking Fountain
Central Park,M,M010-DF0565,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0208,Drinking Fountain
Sperandeo Brothers Playground,B,B163-DF0184,Drinking Fountain
Forest Park,Q,Q015-DF0005,Drinking Fountain
Shore Park and Parkway,B,B082-DF0782,Drinking Fountain
Conference House Park,R,R006-DF0200,Drinking Fountain
Joseph Austin Playground,Q,Q391-DF0292,Drinking Fountain
Morningside Park,M,M056-DF0457,Drinking Fountain
Prospect Park,B,B073-DF0853,Drinking Fountain
Seton Park,X,X201-DF0118,Drinking Fountain
Bathgate Playground,X,X252-DF0277,Drinking Fountain
John V. Lindsay East River Park,M,M144-DF0358,Drinking Fountain
Randall's Island Park,M,M104-DF1096,Drinking Fountain
Percy E. Sutton Playground,M,M141-DF0526,Drinking Fountain
Stanley Isaacs Playground,M,M192-DF0890,Drinking Fountain
Central Park,M,M010-DF0670,Drinking Fountain
Tottenville Pool,R,R110-DF0264,Drinking Fountain
Flushing Meadows Corona Park,Q,Q084A-DF0566,Drinking Fountain
Silver Lake Park,R,R022-DF0206,Drinking Fountain
Owl's Head Park,B,B066-DF0716,Drinking Fountain
Marine Park,B,B057-DF0876,Drinking Fountain
Henry Hudson Park,X,X080-DF0112,Drinking Fountain
Blood Root Valley,R,R129-DF0230,Drinking Fountain
Kissena Park,Q,Q024-DF0637,Drinking Fountain
Red Hook Recreation Area,B,B126-DF0006,Drinking Fountain
Fort Tryon Park,M,M029-DF0895,Drinking Fountain
Pelham Bay Park,X,X039-DF0100,Drinking Fountain
Playground One Forty,Q,Q220E-DF0452,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0036,Drinking Fountain
Howard Pool,B,B260A-DF1133,Drinking Fountain
Ruppert Park,M,M294-DF0253,Drinking Fountain
St. Nicholas Park,M,M077-DF0487,Drinking Fountain
Mosholu Parkway,X,X033-DF0169,Drinking Fountain
Sol Lain Plgd,M,M235-DF0295,Drinking Fountain
The High Line,M,M360-DF0118,Drinking Fountain
Brigadier General Charles Young Playground,M,M186-DF0536,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0128,Drinking Fountain
Prospect Park,B,B073-DF1052,Drinking Fountain
Central Park,M,M010-DF0901,Drinking Fountain
Ian Maclennan Garden,Q,QT18-DF0558,Drinking Fountain
Mount Hope Garden,X,X274-DF0592,Drinking Fountain
Riverside Park,M,M071-DF0090,Drinking Fountain
Rev. T. Wendell Foster Park and Recreation Center,X,X034-DF0066,Drinking Fountain
Cunningham Park,Q,Q021-DF0509,Drinking Fountain
Central Park,M,M010-DF0674,Drinking Fountain
Turtle Playground,Q,Q357G-DF0674,Drinking Fountain
Pomonok Playground,Q,Q329-DF0388,Drinking Fountain
Hunts Point Playground,X,X113-DF0486,Drinking Fountain
Amersfort Park,B,B002-DF0731,Drinking Fountain
Vinmont Veteran Park,X,X152-DF0475,Drinking Fountain
Pearl St Playground,M,M378-DF0335,Drinking Fountain
Old Town Playground,R,R063-DF0215,Drinking Fountain
Macombs Dam Park,X,X030-DF0391,Drinking Fountain
Betsy Head Park,B,B008-DF1037,Drinking Fountain
Coney Island Boat Basin,B,B166C-DF0620,Drinking Fountain
Torsney Playground,Q,Q340-DF0087,Drinking Fountain
Hamilton Fish Park,M,M033-DF1075,Drinking Fountain
Sternberg Park,B,B055-DF0772,Drinking Fountain
Jacob H. Schiff Playground,M,M223-DF0492,Drinking Fountain
Rev J Polite Playground,X,X116-DF0215,Drinking Fountain
Harold Ickes Playground,B,B210H-DF0269,Drinking Fountain
Central Park,M,M010-DF1064,Drinking Fountain
Colgate Close,X,X195A-DF0161,Drinking Fountain
Pelham Bay Park,X,X039-DF0098,Drinking Fountain
Gerard P. Dugan Playground,R,R026-DF0011,Drinking Fountain
Bronx River Parkway,X,X004-DF0153,Drinking Fountain
John V. Lindsay East River Park,M,M144-DF0353,Drinking Fountain
Flushing Meadows Corona Park,Q,Q084A-DF0565,Drinking Fountain
Parade Ground,B,B068-DF0345,Drinking Fountain
Central Park,M,M010-DF0578,Drinking Fountain
Wards Island Park,M,M107-DF0157,Drinking Fountain
Hoover - Manton Playgrounds,Q,Q220G-DF0277,Drinking Fountain
Marion Hopkinson Playground,B,B110-DF0160,Drinking Fountain
St. James Park,X,X044-DF0533,Drinking Fountain
Bronx Park,X,X002-DF0001,Drinking Fountain
Astoria Heights Playground,Q,Q014-DF0799,Drinking Fountain
Rockaway Beach Boardwalk,Q,Q163-DF0336,Drinking Fountain
James Weldon Johnson Playground,M,M111-DF0508,Drinking Fountain
Calvert Vaux Park,B,B125-DF0011,Drinking Fountain
St. Andrew's Playground,B,B225-DF0146,Drinking Fountain
Sarsfield Playground,B,B207-DF0453,Drinking Fountain
J. Hood Wright Park,M,M099-DF0985,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0042,Drinking Fountain
Hoover - Manton Playgrounds,Q,Q220G-DF0273,Drinking Fountain
Randall's Island Park,M,M104-DF0001,Drinking Fountain
Chelsea Park,M,M011-DF868,Drinking Fountain
Classon Playground,B,B293-DF0220,Drinking Fountain
Battery Park City,M,M283-DF0875,Drinking Fountain
Central Park,M,M010-DF1046,Drinking Fountain
Van Cortlandt Park,X,X092-DF0238,Drinking Fountain
Fisher Pool,Q,Q441-DF0960,Drinking Fountain
Fort Washington Park,M,M028-DF0051,Drinking Fountain
Grand Ferry Park,B,B401-DF0537,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0577,Drinking Fountain
Brownsville Playground,B,B270-DF1098,Drinking Fountain
Saratoga Park,B,B079-DF0296,Drinking Fountain
Washington Square Park,M,M098-DF0607,Drinking Fountain
Russell Sage Playground,Q,Q335-DF0546,Drinking Fountain
Livonia Park,B,B367-DF0101,Drinking Fountain
Rudd Playground State Park,B,B131-DF0035,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF1025,Drinking Fountain
Neighborhood Parks,B,BT07-DF0903,Drinking Fountain
Central Park,M,M010-DF1059,Drinking Fountain
College Point Fields,Q,Q476-DF0892,Drinking Fountain
Playground 103 CIII,M,M108G-DF0873,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0793,Drinking Fountain
Sheltering Arms Playground,M,M190-DF0489,Drinking Fountain
Central Park,M,M010-DF0631,Drinking Fountain
Big Bush Playground,Q,Q205A-DF0732,Drinking Fountain
Rev. Dr. Maggie Howard Playground,R,R061-DF0070,Drinking Fountain
Red Hook Recreation Area,B,B126-DF0067,Drinking Fountain
Nicholas Naquan Heyward Jr. Park,B,B230-DF0248,Drinking Fountain
Crotona Park,X,X010-DF0332,Drinking Fountain
Gen. Douglas MacArthur Park,R,R067-DF0091,Drinking Fountain
Hell's Kitchen Park,M,M277-DF0139,Drinking Fountain
Newtown Barge Playground,B,B135-DF0988,Drinking Fountain
Audubon Playground,M,M240-DF0110,Drinking Fountain
Brizzi Playground,B,B162-DF0511,Drinking Fountain
Prall Playground,R,R105-DF0128,Drinking Fountain
Wakefield Playground,X,X188-DF0002,Drinking Fountain
Central Park,M,M010-DF0554,Drinking Fountain
Callahan-Kelly Playground,B,B219-DF0167,Drinking Fountain
Astoria Park,Q,Q004-DF0104,Drinking Fountain
Bushwick Playground,B,B017-DF0043,Drinking Fountain
Lozada Playground,X,X131-DF0457,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0606,Drinking Fountain
Sara D. Roosevelt Park,M,M105-DF0216,Drinking Fountain
Dyker Beach Park,B,B028-DF0656,Drinking Fountain
Parade Ground,B,B068-DF0331,Drinking Fountain
Alley Park,Q,Q356-DF0698,Drinking Fountain
Leif Ericson Park,B,B052-DF0764,Drinking Fountain
Cunningham Park,Q,Q021-DF0359,Drinking Fountain
Adam Yauch Park,B,B223DA-DF0724,Drinking Fountain
McCarren Park,B,B058-DF0407,Drinking Fountain
Bronx River Parkway,X,X004-DF0076,Drinking Fountain
Central Park,M,M010-DF0650,Drinking Fountain
Theodore Roosevelt Park,M,M053-DF0005,Drinking Fountain
Bella Abzug Park,M,M399-DF0339,Drinking Fountain
100% Playground,B,B342-DF0655,Drinking Fountain
Manhattan Beach Park,B,B251-DF0928,Drinking Fountain
Breukelen Ballfields,B,B247-DF0444,Drinking Fountain
Forest Park,Q,Q015-DF0925,Drinking Fountain
Tompkins Square Park,M,M088-DF0314,Drinking Fountain
Marie Curie Playground,Q,Q364-DF0728,Drinking Fountain
Bayswater Park,Q,Q007-DF0240,Drinking Fountain
Hinton Park,Q,Q410-DF0168,Drinking Fountain
Woodtree Playground,Q,Q332-DF0047,Drinking Fountain
Archie Spigner Park,Q,Q051-DF0306,Drinking Fountain
Seaside Wildlife Nature Park,R,R145-DF0013,Drinking Fountain
Plimpton Playground,X,X148A2-DF0599,Drinking Fountain
Southern Fields,Q,Q096B-DF0492,Drinking Fountain
Vidalia Park,X,X266-DF0467,Drinking Fountain
Thomas Jefferson Park,M,M047-DF0916,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0946,Drinking Fountain
McCarren Park,B,B058-DF0212,Drinking Fountain
Belt Parkway/Shore Parkway,B,B166-DF0824,Drinking Fountain
Prospect Park,B,B073-DF0297,Drinking Fountain
Wagner Houses Pool,M,M273-DF1107,Drinking Fountain
Bush Terminal Park,B,BT15-DF0743,Drinking Fountain
Fox Playground,B,B248-DF0519,Drinking Fountain
Howard Bennett Playground,M,M217-DF0544,Drinking Fountain
Broad Channel American Park,Q,Q467-DF0186,Drinking Fountain
Nehemiah Park,B,B396-DF0105,Drinking Fountain
Alfred E. Smith Playground,M,M194-DF1012,Drinking Fountain
Cedar Playground,X,X111-DF0381,Drinking Fountain
Jennifer's Playground,R,R114-DF0112,Drinking Fountain
Renaissance Playground,M,M245-DF0128,Drinking Fountain
Dyker Beach Park,B,B028-DF0665,Drinking Fountain
Powell Playground,B,B156-DF0175,Drinking Fountain
Detective Keith L Williams Park,Q,Q121-DF0479,Drinking Fountain
Willis Playground,X,X217-DF0460,Drinking Fountain
El Shabazz Playground,B,B313-DF0348,Drinking Fountain
Robert Moses Playground,M,M158-DF0068,Drinking Fountain
D'Auria-Murphy Triangle,X,X068-DF0387,Drinking Fountain
Tudor Park,Q,Q094-DF0498,Drinking Fountain
River Avenue Parks,X,X348-DF0400,Drinking Fountain
Prospect Park,B,B073-DF0377,Drinking Fountain
The Painter's Playground,Q,Q306-DF0520,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0135,Drinking Fountain
Betsy Head Park,B,B008-DF0133,Drinking Fountain
Susan Smith McKinney Steward Park,B,B223JB-DF0208,Drinking Fountain
Brooklyn Bridge Park,B,B431-DF0946,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0263,Drinking Fountain
Murphy Brothers Playground,M,M059-DF0399,Drinking Fountain
McCarren Park,B,B058-DF1034,Drinking Fountain
Forest Park,Q,Q015-DF1004,Drinking Fountain
Pelham Bay Park,X,X039-DF0527,Drinking Fountain
Rochdale Park,Q,Q413-DF0781,Drinking Fountain
Greencroft Playground,R,R089-DF0003,Drinking Fountain
Bicentennial Veterans Memorial Park,X,X191A-DF0034,Drinking Fountain
Manhattan Beach Park,B,B251-DF0926,Drinking Fountain
Andrew Haswell Green Park,M,M108Q1-DF0639,Drinking Fountain
Story Playground,X,X204-DF0472,Drinking Fountain
Isham Park,M,M043-DF0186,Drinking Fountain
Dean Playground,B,B232-DF0452,Drinking Fountain
Frank Principe Park,Q,Q131-DF0736,Drinking Fountain
Brooklyn Bridge Park,B,B431-DF0947,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0591,Drinking Fountain
Juniper Valley Park,Q,Q102-DF0397,Drinking Fountain
Riverside Park,M,M071-DF0087,Drinking Fountain
Sumner Playground,B,B263-DF983,Drinking Fountain
Slattery Playground,X,X085-DF0360,Drinking Fountain
Ampere Playground,Q,Q378-DF0602,Drinking Fountain
Ciccarone Park,X,X102-DF0389,Drinking Fountain
Central Park,M,M010-DF0601,Drinking Fountain
Pulaski Playground,B,B322-DF0114,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0926,Drinking Fountain
Hillside Dog Park,B,B223G-DF0888,Drinking Fountain
Van Cortlandt Park,X,X092-DF0544,Drinking Fountain
Washington Square Park,M,M098-DF0105,Drinking Fountain
Pelham Bay Park,X,X039-DF0087,Drinking Fountain
Slattery Playground,X,X085-DF0362,Drinking Fountain
Bloomingdale Park,R,R106-DF0137,Drinking Fountain
Luna Playground,B,B296-DF0361,Drinking Fountain
The Battery,M,M005-DF0285,Drinking Fountain
Freshkills Park,R,R017-DF0255,Drinking Fountain
Washington Market Park,M,M308-DF0350,Drinking Fountain
Seaside Playground,Q,Q422-DF0201,Drinking Fountain
Utopia Playground,Q,Q294-DF0368,Drinking Fountain
Kissena Park,Q,Q024-DF0634,Drinking Fountain
Hickman Playground,B,B330-DF0901,Drinking Fountain
Gravesend Park,B,B042-DF0677,Drinking Fountain
Van Nest Park,X,X093-DF0246,Drinking Fountain
Bronx River Parkway,X,X004-DF0077,Drinking Fountain
Canarsie Park,B,B018-DF0810,Drinking Fountain
Crocheron Park,Q,Q012-DF0805,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0085,Drinking Fountain
Bath Beach Park,B,B164-DF0626,Drinking Fountain
Harlem River Park,M,M208D-DF0416,Drinking Fountain
Sunset Park,B,B087-DF1070,Drinking Fountain
Forest Park,Q,Q015-DF0009,Drinking Fountain
Hunter's Point South Park,Q,Q471-DF0101,Drinking Fountain
Manhattan Beach Park,B,B251-DF0615,Drinking Fountain
Crotona Park,X,X010-DF0328,Drinking Fountain
Juniper Valley Park,Q,Q102-DF0407,Drinking Fountain
Central Park,M,M010-DF1067,Drinking Fountain
Stuyvesant Square,M,M086-DF0038,Drinking Fountain
Riverside Park,M,M071-DF0023,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0566,Drinking Fountain
Golconda Playground,B,B243-DF0431,Drinking Fountain
Lincoln Terrace / Arthur S. Somers Park,B,B054-DF0491,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0549,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0280,Drinking Fountain
Mafera Park,Q,Q305-DF0551,Drinking Fountain
Roy Wilkins Recreation Center,Q,Q448-DF0969,Drinking Fountain
Arsenal West,M,MT03-DF1031,Drinking Fountain
Harlem River Park,M,M208D-DF0415,Drinking Fountain
Luther Gulick Park,M,M065-DF1116,Drinking Fountain
Wards Island Park,M,M107-DF0148,Drinking Fountain
Roy Wilkins Recreation Center,Q,Q448-DF0114,Drinking Fountain
Pelham Bay Park,X,X039-DF0578,Drinking Fountain
Rockaway Beach Boardwalk,Q,Q163-DF0823,Drinking Fountain
Fort Washington Park,M,M028-DF0048,Drinking Fountain
Detective Keith L Williams Park,Q,Q121-DF0484,Drinking Fountain
Chelsea Recreation Center,M,M260-DF1025,Drinking Fountain
Davis Playground,R,R086-DF0107,Drinking Fountain
Rockaway Beach Boardwalk,Q,Q163-DF0963,Drinking Fountain
Tony Dapolito Recreation Center,M,M103-DF0990,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0039,Drinking Fountain
Jennifer's Playground,R,R114-DF0115,Drinking Fountain
Dyker Beach Park,B,B028-DF1111,Drinking Fountain
Inwood Hill Park,M,M042-DF0132,Drinking Fountain
Prospect Park,B,B073-DF0379,Drinking Fountain
Laurelton Parkway,Q,Q027-DF0764,Drinking Fountain
Athens Square,Q,Q436-DF0045,Drinking Fountain
Givan Square,X,X187-DF0057,Drinking Fountain
Randall's Island Park,M,M104-DF1100,Drinking Fountain
Terrace Playground,R,R069-DF0110,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0077,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0289,Drinking Fountain
Holy Cow Playground,Q,Q300A1-DF0363,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0829,Drinking Fountain
Kelly Park Playground,B,B051-DF0669,Drinking Fountain
Battery Park City,M,M283-DF0195,Drinking Fountain
Betsy Head Park,B,B008-DF0022,Drinking Fountain
Canarsie Park,B,B018-DF0815,Drinking Fountain
Marine Park,B,B057-DF0843,Drinking Fountain
The High Line,M,M360-DF0120,Drinking Fountain
McGuire Fields,B,B166D-DF1082,Drinking Fountain
Pena Herrera Playground,B,B210J-DF0525,Drinking Fountain
Bronx River Parkway,X,X004-DF0125,Drinking Fountain
Detective Keith L Williams Park,Q,Q121-DF0477,Drinking Fountain
Claremont Park,X,X008-DF0392,Drinking Fountain
Luna Playground,B,B296-DF0362,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0575,Drinking Fountain
Shore Park and Parkway,B,B082-DF0725,Drinking Fountain
Central Park,M,M010-DF0013,Drinking Fountain
Markham Playground,R,R076-DF0160,Drinking Fountain
Yellowstone Park,Q,Q425-DF0571,Drinking Fountain
Crotona Park,X,X010-DF0334,Drinking Fountain
Arsenal West,M,MT03-DF1030,Drinking Fountain
Crotona Park,X,X010-DF0338,Drinking Fountain
St. John's Park,B,B245-DF1087,Drinking Fountain
Augustus St. Gaudens Playground,M,M226-DF0035,Drinking Fountain
Forest Park,Q,Q015-DF0014,Drinking Fountain
McDonald Playground,B,B244-DF0661,Drinking Fountain
College Point Fields,Q,Q476-DF0834,Drinking Fountain
Dag Hammarskjold Plaza,M,M203C-DF0067,Drinking Fountain
Hillside Playground,Q,Q352-DF0073,Drinking Fountain
Bloomingdale Park,R,R106-DF0188,Drinking Fountain
P.O. Serrano Playground,X,X151-DF0140,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0592,Drinking Fountain
Albemarle Playground,B,B297-DF0510,Drinking Fountain
Prospect Park,B,B073-DF1056,Drinking Fountain
Lafayette Playground,B,B106B-DF1151,Drinking Fountain
Clove Lakes Park,R,R005-DF0197,Drinking Fountain
Pelham Bay Park,X,X039-DF0094,Drinking Fountain
Marine Park,B,B057-DF0975,Drinking Fountain
Dean Playground,B,B232-DF0448,Drinking Fountain
Howard Playground,B,B260-DF0174,Drinking Fountain
Sara D. Roosevelt Park,M,M105-DF0996,Drinking Fountain
Westbourne Playground,Q,Q266-DF0333,Drinking Fountain
Gravesend Park,B,B042-DF0675,Drinking Fountain
Edenwald Playground,X,X165-DF0006,Drinking Fountain
Forest Park,Q,Q015-DF0922,Drinking Fountain
First Park,M,M124-DF0220,Drinking Fountain
Railroad Playground,B,B271-DF0277,Drinking Fountain
Van Voorhees Playground,B,B050-DF0265,Drinking Fountain
Bronx Park,X,X002-DF0243,Drinking Fountain
Central Park,M,M010-DF0943,Drinking Fountain
Red Hook Recreation Area,B,B126-DF1077,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0296,Drinking Fountain
Pena Herrera Playground,B,B210J-DF0526,Drinking Fountain
East River Playground,M,M258-DF1016,Drinking Fountain
Devoe Park,X,X013-DF0386,Drinking Fountain
Van Cortlandt Park,X,X092-DF0266,Drinking Fountain
Baisley Pond Park,Q,Q005-DF0449,Drinking Fountain
Riverside Park South,M,M353-DF0077,Drinking Fountain
